Review,Rating,Review_clean,sentiment
Love em,5,love em,0.6369
Beautiful and very flattering,5,beautiful flattering,0.7351
Very nice skirt but too small,4,nice skirt small,0.4215
Nice idea,3,nice idea,0.4215
Different than the rest !!!,5,different rest,0.0
Go one size up,3,size,0.0
Este artículo no llegó del tamaño que esperaba,1,este artículo llegó del tamaño que esperaba,0.0
Gorgeous dress but runs large,4,gorgeous dress run large,0.6124
Horrible fit and itchy material,1,horrible fit itchy material,-0.4767
Not soft jogging pant material,2,soft jogging pant material,0.0
Need pockets. Why not have pockets? Men’s pants have pockets.,2,need pocket pocket men pant pocket,0.0
Great concept but terrible execution,1,great concept terrible execution,0.25
Color is very dull and does not look like in the pictures.,2,color dull look like picture,-0.0516
This is a MATernity dress!,1,maternity dress,0.0
Blazer IS NOT the same that is in the picture,1,blazer picture,0.0
Can't wait to wear this,4,not wait wear,0.0
Black and white shirt,5,black white shirt,0.0
Sleeves are a dealbreaker,1,sleeve dealbreaker,0.0
DONT ORDER Khaki!!!,2,not order khaki,0.0
This is a gorgeous swimsuit,5,gorgeous swimsuit,0.6124
Runs big & not like the picture,1,run big   like picture,0.3612
Disapppointed,3,disapppointe,0.0
Este producto no es lo que ofrece la página,1,este producto es lo que ofrece la página,0.0
"Pretty, but already piling",3,pretty pile,0.4939
One of the best tops i've ever owned,5,good top ve own,0.5719
Didn't work for me...,2,not work,0.0
Tight in all the wrong places...,2,tight wrong place,-0.4767
Meh. Not the 505 replacement I was hoping for.,3,meh 505 replacement hope,0.3818
Light and comfortable,3,light comfortable,0.5106
Product not consistent,3,product consistent,0.0
I really wanted to like this,3,want like,0.4215
Order a size u,3,order size u,0.0
Beautiful draping & dark green color,5,beautiful drape   dark green color,0.5994
The colla style made the shirt look like a pajama top. Color pattern all good,3,colla style shirt look like pajama color pattern good,0.6597
Pretty but tight in bust,3,pretty tight bust,0.4939
Go a size up from what you would think.,5,size think,0.0
Wanted to love it.,1,want love,0.6705
Perfect layering piece,5,perfect layering piece,0.5719
Color was not as advertised.,3,color advertise,0.0
Suit has no stretch,3,suit stretch,0.0
Not quite as pictured,4,picture,0.0
Too much piling,2,piling,0.0
Great fall blouse,4,great fall blouse,0.6249
Better than i'd hoped,5,well d hope,0.6124
Very thin!!,2,thin,0.0
worst,1,worst,-0.6249
Overpriced.,2,overprice,0.0
Not too impressed,3,impressed,0.4767
Did not purchase,2,purchase,0.0
Quilted Hoodie leaves me disappointed,2,quilt hoodie leave disappointed,-0.5106
Permanent wrinkled,1,permanent wrinkle,0.0
Ripped first time I pulled on it,1,rip time pull,0.0
Fun and classic,4,fun classic,0.5106
Beware: they're sheer,4,beware sheer,0.0
Gorgeous but runs very small,3,gorgeous run small,0.6124
Not delivered at door not at porch. but left behind some bushes.,3,deliver door porch leave bush,-0.0516
Cute dress online but not for me,3,cute dress online,0.4588
Hit or miss sizing,3,hit miss size,-0.1531
Superb workout shirt,5,superb workout shirt,0.6249
My jacket comes with a rock!!!??,2,jacket come rock,0.0
Fits as anticipated,4,fit anticipate,0.3612
Did not get what was pictured.,1,picture,0.0
"Great Fit, Quality as Advertised, and super durable",3,great fit quality advertise super durable,0.8885
Thin and sheer,4,thin sheer,0.0
Quality is NOT what is used to be.,2,quality,0.0
Great suit vest,5,great suit vest,0.6249
Waaaaaay toooooo BIGGGGG,2,waaaaaay toooooo biggggg,0.0
Love love love this!,5,love love love,0.9274
I order m size but deliverd s size,1,order m size deliverd s size,0.0
Does not fit as advertised,1,fit advertise,0.3612
Finally jeans for curves!,5,finally jean curve,0.0
Want to look homless?,1,want look homless,0.0772
Elegant modern,4,elegant modern,0.4767
Extra fabric,3,extra fabric,0.0
Ripped and I cannot send it back,3,rip send,0.0
Kinda manly,3,kinda manly,0.0
No fue como lo describieron,3,fue como lo describieron,0.0
Tight at waist,2,tight waist,0.0
Very happy with item.,4,happy item,0.5719
Material feels cool and comfortable.,3,material feel cool comfortable,0.6808
Cool but a bit wide,4,cool bit wide,0.3182
Cute.....but odd color,3,cutebut odd color,-0.3182
Loved this jacket,5,love jacket,0.6369
100% Polyester,3,100 polyester,0.0
Too large and low quality,2,large low quality,-0.2732
Holding horses beauty,4,hold horse beauty,0.5859
Very pretty dress but runs big,4,pretty dress run big,0.4939
"Flattering, comfy top",4,flattering comfy,0.3182
Too small in chest,5,small chest,0.0
As promised,5,promise,0.3182
Love the fit and color,5,love fit color,0.7717
"Ordered my normal size, but these were way too small",1,order normal size way small,0.0
I wanted to love this sweater,2,want love sweater,0.6705
Not great quality :(,2,great quality,0.6249
Shrinks way too much and didn’t last.,2,shrink way not,0.0
Great fit- classic design,5,great fit classic design,0.765
Not what i had hoped for,2,hope,0.4404
Not as the one on the picture,1,picture,0.0
Fun and a little bit sexy,5,fun little bit sexy,0.7522
Definitely not my best look,3,definitely good look,0.6808
Fully waterproof and not too hot,5,fully waterproof hot,0.0
Runs extremely large,1,run extremely large,0.0
Fabric is horrible i doubt this 100% Polyester,1,fabric horrible doubt 100 polyester,-0.7184
Nice jacket to put outfit together,4,nice jacket outfit,0.4215
Meet me at the museum!,5,meet museum,0.0
Not great fit for those with long legs,2,great fit long leg,0.765
"Fits perfectly, comfortable",5,fit perfectly comfortable,0.875
Pretty but.....,3,pretty,0.4939
"Just ok, very voluminous",3,ok voluminous,0.296
Accurate description,5,accurate description,0.0
Hole the first time!,3,hole time,0.0
"Lovely skirt, runs a bit large.",4,lovely skirt run bit large,0.5859
Maybe in a different color,3,maybe different color,0.0
A colorful big box,1,colorful big box,0.0
Waaaay to short,1,waaaay short,0.0
"Cute, but massive sweep",4,cute massive sweep,0.4588
Looks nice but requires a lot of care,3,look nice require lot care,0.7184
"Stretches out, washes poorly. wish i could return.",1,stretch wash poorly wish return,0.4019
Stretches - loses form and Wrinkles,2,stretch   lose form wrinkle,-0.4019
"Great, great summer tee!",5,great great summer tee,0.8481
Sizes are off,2,size,0.0
#notforme,3,notforme,0.0
It fits perfect!!,4,fit perfect,0.7351
SO MANY HOLES,1,hole,0.0
Comfy but style not as described,4,comfy style describe,0.0
More like a cardigan,1,like cardigan,0.3612
Poor quality. Coming apart after one wear,1,poor quality come apart wear,-0.4767
too long!,2,long,0.0
I would say these are cute and comfy but size down if you want a more snug fit.,4,cute comfy size want snug fit,0.7003
Lovely soft light jacket,5,lovely soft light jacket,0.5859
Material too thin.,1,material thin,0.0
thanks,5,thank,0.3612
Order the wrong tshirts,1,order wrong tshirt,-0.4767
I didn't get my vest,2,not vest,0.0
Pretty dress but cheap fabric,3,pretty dress cheap fabric,0.4939
The sleeves didn’t match the fit of the body.,1,sleeve not match fit body,-0.2755
crappy pjs,1,crappy pjs,-0.5574
Mixed feelings....,4,mix feeling,0.128
Elegant and feminine.,5,elegant feminine,0.4767
Tomorrow sweatshirt,1,tomorrow sweatshirt,0.0
"Gorgeous little suit with shirt, clip on tie, and pocket square!",5,gorgeous little suit shirt clip tie pocket square,0.6124
Lovely and unique!,5,lovely unique,0.5859
camisetas de algodón,4,camisetas de algodón,0.0
"Really narrow in the shoulders, poor fit",1,narrow shoulder poor fit,-0.1531
I wish it could go in the dryer.,4,wish dryer,0.4019
Looks exactly like the picture,4,look exactly like picture,0.3612
Great pajama set at a good price,5,great pajama set good price,0.7906
Its ok….,3,ok,0.296
Cups too big,3,cups big,0.0
Not fupa approved,3,fupa approve,0.0
Missing The Tie!,1,miss tie,-0.1531
I bought a small and it went to almost my knees,2,buy small go knee,0.0
"Smelly shirt, washed multiple times still has terrible odor",1,smelly shirt wash multiple time terrible odor,-0.4767
Runs big!!,3,run big,0.0
Order a size or 2 up. This item is small small,1,order size 2 item small small,0.0
Horriable Quality,1,horriable quality,0.0
Average to cheap quality,2,average cheap quality,0.0
pretty 🥰,5,pretty,0.4939
Great twist on a classic,4,great twist classic,0.6249
Comfortable but not flattering,3,comfortable flattering,0.6808
Just...weird,2,justweird,0.0
Not what i wanted,2,want,0.0772
Just a blah top,2,blah,-0.1027
"Great consept, didn't work on me",3,great consept not work,0.6249
Perfect!!!!,5,perfect,0.5719
Not White,1,white,0.0
Such A Bummer,3,bummer,-0.3818
Day off henley,3,day henley,0.0
Should be labeled as super skinny,4,label super skinny,0.5994
Beware! launder before wearing!,3,beware launder wear,0.0
Good just not for me,2,good,0.4404
size is a little off,3,size little,0.0
Pretty but weird fit,2,pretty weird fit,0.6124
"not oversized, just long",3,oversized long,0.0
Comically large,1,comically large,0.0
All not the same size,2,size,0.0
Definitely order a bigger size. Not even close to what they say.,3,definitely order big size close,0.4019
Beautiful but not for me,4,beautiful,0.5994
Great stretch,4,great stretch,0.6249
not for long torsos,4,long torso,0.0
Practico y bonito,5,practico y bonito,0.0
Company unable to send me correct size,1,company unable send correct size,0.0
80's sweater,2,80 sweater,0.0
Comfortable and classic,5,comfortable classic,0.5106
Not a USA product,2,usa product,0.0
Pretty dress but oddly cut in the middle,4,pretty dress oddly cut middle,0.2732
Cute quincy tee,4,cute quincy tee,0.4588
Sad,1,sad,-0.4767
Comfy but SHEER,3,comfy sheer,0.0
Inconvenient ventilation,1,inconvenient ventilation,-0.34
Really pretty top. Runs small.,3,pretty run small,0.4939
Super cute. pockets would be nice,4,super cute pocket nice,0.8658
"Fits perfectly, but quality went down over the years",4,fit perfectly quality go year,0.7717
Super sexy perfect fit!,5,super sexy perfect fit,0.926
RUNS SMALL BEWARE,1,run small beware,0.0
Very cute but small,4,cute small,0.4588
Nice quality jacket but....,4,nice quality jacket,0.4215
So stiff and fit weird!,2,stiff fit weird,0.2023
"Lovely fabric, unsure of fit",3,lovely fabric unsure fit,0.6486
Poorly made and restricted movement,2,poorly restricted movement,-0.3818
These ride up SO Badly!!!,2,ride badly,-0.4767
CUTE ITEM,4,cute item,0.4588
Pilling!,2,pille,0.0
Color faded,1,color fade,0.0
"Perfecto, lo que esperaba",5,perfecto lo que esperaba,0.3182
Cheap Zipper and Buttons,2,cheap zipper button,0.0
Very thin. No lining at all.,3,thin lining,0.0
Holes in the fabric,1,hole fabric,0.0
Not for the full figured,1,figured,0.0
Cut is a little off,3,cut little,-0.2732
Why are they called dickies anymore?,3,call dickie anymore,0.0
Not a slim fit,1,slim fit,0.3612
Nice variety,4,nice variety,0.4215
Pattern not attractive in person,3,pattern attractive person,0.4404
Wrinkled abd hem uneven,1,wrinkle abd hem uneven,0.0
I only got pants,1,get pant,0.0
"Wrinkly cotton, nice shape",3,wrinkly cotton nice shape,0.4215
Basic and not flattering,2,basic flattering,0.3182
I love this fleece,4,love fleece,0.6369
Runs small like Jrs size,3,run small like jrs size,0.3612
"Poor quality, unflattering fit",2,poor quality unflattering fit,-0.1531
Stain on shirt,1,stain shirt,0.0
Not sure who this would flatter,2,sure flatter,0.4019
Not flattering!,2,flattering,0.3182
Painful but beautiful,3,painful beautiful,0.25
Disappointed to return ☹️,4,disappoint return,-0.4019
Not actually waterproof,1,actually waterproof,0.0
Beautiful but a little too 80s,4,beautiful little 80,0.5994
Fabric Didn't Work for Me,2,fabric not work,0.0
El color no es como el de la fotografía,3,el color es como el de la fotografía,0.0
Really disgraceful - Linen pants & vest,1,disgraceful   linen pant   vest,0.0
Cheap shorts DO NOT buy,1,cheap short buy,0.0
Cute for the office,5,cute office,0.4588
Looks nothing like the photo,1,look like photo,0.3612
Swallowed me up!,1,swallow,0.0
Color ran when washed.,2,color run wash,0.0
Love the colors,5,love color,0.6369
Cuter in the photos,3,cut photo,-0.2732
A little tight!,3,little tight,0.0
So cute i want to wear it everyday!,5,cute want wear everyday,0.5106
Arrived much smaller than anticipated.,1,arrive small anticipate,0.0
The lapels on side is not laying flat right down to the button. Not cut properly.ly,3,lapel lay flat right button cut properlyly,-0.2732
My new favorite dress,5,new favorite dress,0.4588
Lost in translation,2,lose translation,-0.4019
So sad! this year's pant is sooo much shorter!,2,sad year pant sooo shorter,-0.4767
"They are a bit long for 5' 7"" height",4,bit long 5 7 height,0.0
"little short, Im 6ft 4 in and it sits just below my waist.",4,little short m 6 ft 4 sit waist,0.0
Loved it but it arrived with a hole in the front.,3,love arrive hole,0.6369
Fast Fashion Quality at Retail Price,2,fast fashion quality retail price,0.0
Was not pleased with the material.,2,pleased material,0.4404
Fits like a sack of potatoes!,1,fit like sack potato,0.6124
The waistline is quite high.  Should work nicely for a pregnant woman.,3,waistline high   work nicely pregnant woman,0.4404
Worst pants ever,2,bad pant,-0.5423
I really wanted to love this but...,3,want love,0.6705
"Elegant, timeless and versatile",5,elegant timeless versatile,0.4767
Fit too large,5,fit large,0.3612
"Nice, colors more vibrant in person",4,nice color vibrant person,0.7351
Made for tall people,3,tall people,0.0
A bit thin but otherwise perfect,4,bit thin perfect,0.5719
"Wanted to like it,but it just didn't work.boring!",4,want like itbut not workbore,0.4215
Item is way smaller then standard US size charts,1,item way small standard size chart,0.0
Pockets are great,4,pocket great,0.6249
Pretty at first glance,2,pretty glance,0.4939
Color was different from one advertised.,2,color different advertise,0.0
"So cute, but weird fit",3,cute weird fit,0.5859
Excellent looking pants with excellent comfort,5,excellent look pant excellent comfort,0.872
Gorgeous and flattering!,5,gorgeous flattering,0.743
To short,3,short,0.0
Ridiculously huge sizing,1,ridiculously huge sizing,-0.0258
Received Project 7 Days Late,1,receive project 7 day late,0.0
Good biking shirt with a long tail.,4,good bike shirt long tail,0.4404
Loose strings on waste band and reversed pockets,2,loose string waste band reversed pocket,-0.6249
They suck,3,suck,-0.4404
"This is not 39"" from shoulder",3,39 shoulder,0.0
It did the job.,4,job,0.0
So sexy,4,sexy,0.5267
Way too tight in the arms. don't size down!,3,way tight arm not size,0.0
Hello shower curtain,2,hello shower curtain,0.0
Made me cry,1,cry,-0.4767
"Really pretty, get complements",5,pretty complement,0.4939
It isnt cut in at the waist. Its straight cut so not fattering on me. Unfortunately its going back.,3,not cut waist straight cut fattere unfortunately go,-0.5191
Overall great work pants.,5,overall great work pant,0.6249
Great looking jacket!,5,great look jacket,0.6249
Casual maxi,3,casual maxi,0.2023
Blue lining and awkward arm holes,4,blue lining awkward arm hole,-0.1531
"Loose, flowy top",5,loose flowy,-0.3182
Big busts not allowed!,1,big bust allow,0.2263
Cartagena cover-up,4,cartagena coverup,0.0
Dissappointed in this blouse,2,dissappointe blouse,0.0
"Love the stretch, and lightweight feel",5,love stretch lightweight feel,0.6369
Beige and black,4,beige black,0.0
the squirrels are wearing Santa hats,2,squirrel wear santa hat,0.0
Not for the athletic built!,1,athletic build,0.0
"Pretty, soft, sheer",2,pretty soft sheer,0.4939
difficult sizing,3,difficult sizing,-0.3612
Just what i was looking for.,5,look,0.0
Sleeves too tight,1,sleeve tight,0.0
Fit good,5,fit good,0.6597
Cheap jeans,3,cheap jean,0.0
Perhaps the most comfy pants ever,5,comfy pant,0.0
Weird shape.,2,weird shape,-0.1779
Skylark caftan dress,4,skylark caftan dress,0.0
Flimsy material,2,flimsy material,0.0
Really nice runs 2 sizes too big,3,nice run 2 size big,0.4215
Cute and striped,5,cute stripe,0.4588
Shows all imperfections,3,show imperfection,0.0
The chest was extremely tight. Unable to zip by about 6 inches.,1,chest extremely tight unable zip 6 inch,0.0
Nice but sleeves are way too long,2,nice sleeve way long,0.4215
A unique design,5,unique design,0.0
Stretches & creases like crazy,2,stretch   crease like crazy,0.0258
"Boxy, shapeless but weighty.",2,boxy shapeless weighty,0.0
The fabric content changes based on where made,1,fabric content change base,0.0
Comfort Fit Value Looks,5,comfort fit value look,0.7506
good quaility,5,good quaility,0.4404
Beware of pants length!,3,beware pant length,0.0
Not as lightweight as other Harlem pants,4,lightweight harlem pant,0.0
Sweater was too short,2,sweater short,0.0
White one looks like lab coat,3,white look like lab coat,0.3612
Invites compliments,5,invite compliment,0.5719
Super see through.,3,super,0.5994
No Pants Pockets - Very Thin Material,3,pant pocket   thin material,0.0
Great for lounging around in,5,great lounge,0.6249
had to return,1,return,0.0
Little doll on the prarie,2,little doll prarie,0.0
"Jacket run a bit large. I'm 6ft. ,200lbs, and a XL is loose fitting.L",4,jacket run bit large m 6 ft 200lbs xl loose fittingl,-0.3182
Comfortable and pretty linen pants,5,comfortable pretty linen pant,0.7579
Look and fit. I prefer a lighter material (polyester),4,look fit prefer light material polyester,0.3612
Too ruffly,3,ruffly,0.0
"Almost perfect, but the top is unflattering.",3,perfect unflattering,0.5719
Beautiful but big and wide,4,beautiful big wide,0.5994
Perfectly delightful!,4,perfectly delightful,0.8402
"Beautiful, huge armholes",4,beautiful huge armhole,0.7351
Quality control joke,1,quality control joke,0.296
Elastic in waistband rolls,3,elastic waistband roll,0.0
Fit works for some and for others,3,fit work,0.3612
It’s okay I guess…,4,okay guess,0.2263
The only jeans you'll ever wear!,5,jean ll wear,0.0
No as described,1,describe,0.0
T-shirt,5,tshirt,0.0
Cute and modern,4,cute modern,0.4588
Cute dress with faulty zipper,3,cute dress faulty zipper,0.1779
Just don't wash it,3,not wash,0.0
Not as described!,1,describe,0.0
"I love the vest. However, it fits too small for my size.",2,love vest fit small size,0.7717
Tight in chest area,5,tight chest area,0.0
Falling apart,2,fall apart,0.0
There's nowhere to keep your stuff!,2,s stuff,0.0
Gorgeous dress but ill fitting,2,gorgeous dress ill fitting,0.296
"Comfortable, loose fitting",5,comfortable loose fitting,0.25
Looked like a big bag,2,look like big bag,0.3612
"Soooo cute, but short rise.",1,soooo cute short rise,0.4588
It's breathable!,5,breathable,0.0
Fun multi season pant,4,fun multi season pant,0.5106
lowest quiality levis EVER,2,low quiality levis,-0.2732
"Unfortunately, wouldn’t recommend",2,unfortunately not recommend,-0.5439
Beautiful knit dress - runs way large!,2,beautiful knit dress   run way large,0.5994
Great but for the snagd,3,great snagd,0.6249
Pretty but....,2,pretty,0.4939
Waterproof pants,3,waterproof pant,0.0
Ripped as i put them on,2,rip,0.0
Flowy and fun.,5,flowy fun,0.5106
Very cheap material . Does not look like the picture,1,cheap material   look like picture,0.3612
"Poor quality, cheaply made",1,poor quality cheaply,-0.4767
Great pants happy,5,great pant happy,0.8316
Terrible but had so much potential,2,terrible potential,-0.4767
These jeans are made of very thin material.,1,jean thin material,0.0
Never buy again,1,buy,0.0
Just Meh :(,2,meh,-0.0772
This is crop top - at least for someone who is 5'7,2,crop   57,0.0
Cheap and thin,2,cheap thin,0.0
NOT RED. Tomato red-orange,1,red tomato redorange,0.0
The order was NOT complete.,2,order complete,0.0
Will buy another,5,buy,0.0
Too big and full of wrinkles,1,big wrinkle,0.0
Fit and appearance are great,5,fit appearance great,0.765
Never spray and wash!!!,3,spray wash,0.0
Perfect fit for 14 long,4,perfect fit 14 long,0.7351
The product is unique and meet expectations,4,product unique meet expectation,0.0
I really wanted to love this top!,2,want love,0.6705
What's up with the tag??,2,s tag,0.0
Wierd pattern,2,wierd pattern,0.0
"FAKE, NOT VOLCOM",1,fake volcom,-0.4767
Just what i needed this fall!,5,need fall,0.0
Extremely disappointed,1,extremely disappointed,-0.5256
"Loved at first, but left disappointed",2,love leave disappointed,0.2263
Didn’t like,3,not like,-0.2755
Adorable for work or weekend,5,adorable work weekend,0.4939
No me sirve.,1,sirve,0.0
Sexy shirt,4,sexy shirt,0.5267
Not the coziest but it's fine,3,coziest fine,0.2023
Quality was not that great.,3,quality great,0.6249
It won't fit over the chest,1,will not fit chest,-0.2755
So cute but small,1,cute small,0.4588
Cute - i ordered online,3,cute   order online,0.4588
Tracy reese $$$ - if want to splurge,3,tracy reese    want splurge,0.0772
A bit tighter in sleeve area. Sleeves won’t push up well or very far.,4,bit tight sleeve area sleeve will not push far,0.0
Soooooooooooooo pretty!,5,soooooooooooooo pretty,0.4939
"defected, filthy, dirty, wasted money",1,defect filthy dirty waste money,-0.7964
Perfect hot summer day choice,5,perfect hot summer day choice,0.5719
Comfy & casual,5,comfy   casual,0.2023
Very cute and flattering,5,cute flattering,0.6486
Grandsons baseball team color,5,grandson baseball team color,0.0
Beige blah,3,beige blah,-0.1027
Cute if you were going to surgery in a hospital gown,1,cute go surgery hospital gown,0.4588
Pretty fabric but needs serious pressing,3,pretty fabric need press,0.4939
Good looking coat,5,good look coat,0.4404
"Soft, comfy, and a very casual",4,soft comfy casual,0.2023
"“FAKE” Náutica, no es buen material es imitación, el material de la camisa es súper malo",1,fake náutica es buen material es imitación el material de la camisa es súper malo,-0.4767
Collar seam fell apart.,1,collar seam fall apart,0.0
Perfecto.,5,perfecto,0.3182
Big & boxy,2,big   boxy,0.0
Love my Jean's.,5,love jean,0.6369
Lovely but very full,4,lovely,0.5859
Stylish  and fun,3,stylish   fun,0.5106
Not the same dress in pic!,2,dress pic,0.0
Color is nice,4,color nice,0.4215
Super long sleeves,4,super long sleeve,0.5994
Nice but to big,2,nice big,0.4215
Get a size smaller than you think,3,size small think,0.0
A tad thin and see through,4,tad thin,0.0
Love these suits!,5,love suit,0.6369
Amazing style,5,amazing style,0.5859
The sizes are odd,3,size odd,-0.3182
Poor quality. The texture is poor,1,poor quality texture poor,-0.7351
"Beautiful, Flattering, Quality, Comfy",4,beautiful flattering quality comfy,0.7351
Dress is made for broad shoulders and small waist,2,dress broad shoulder small waist,0.0
Vintage-contemporary fashion,4,vintagecontemporary fashion,0.0
Horrible zipper beautiful dress,3,horrible zipper beautiful dress,0.1027
Too tight and not comfortable,3,tight comfortable,0.5106
Bloomed eyelet shirtdress,4,bloom eyelet shirtdress,0.0
Great dress for many occasions,5,great dress occasion,0.6249
Very thin material I don’t expect them to last but a couple washings.,3,thin material not expect couple washing,0.0
This shirt did not fit his advertised,1,shirt fit advertise,0.3612
"""No Liner-Liner"" means no liner...",1,linerliner mean liner,0.0
I would never buy some pants off here again,1,buy pant,0.0
Eh dress,3,eh dress,0.0
Fabric unpleasant against skin,2,fabric unpleasant skin,-0.4767
Tank top with a little something extra,5,tank little extra,0.0
Not like the photo at all,1,like photo,0.3612
Fits well. Relaxing dress pant,5,fit relax dress pant,0.6597
Very comfortable and stretchy,4,comfortable stretchy,0.5106
It shrunk a little after doing laundry.,3,shrink little laundry,0.0
Better in the photo,3,well photo,0.2732
Don’t put it in The dryer the lace ruined,1,not dryer lace ruin,0.4717
"Great fit, but high maintenance",4,great fit high maintenance,0.765
A lot of dress,4,lot dress,0.0
Beautiful if you're tall enough,3,beautiful tall,0.5994
So soft and comfy,5,soft comfy,0.0
It’s not bad,4,bad,-0.5423
Cut to small,2,cut small,-0.2732
Cute blouse!,4,cute blouse,0.4588
"Beautiful, but runs really big",3,beautiful run big,0.5994
Good suit for the price!,5,good suit price,0.4404
Horrible Smell and feels damp,1,horrible smell feel damp,-0.5423
self-conscious,3,selfconscious,0.0
Beautiful smelly outfit,3,beautiful smelly outfit,0.5994
Shirt quality is hard to find at a good price,2,shirt quality hard find good price,0.3612
mala calidad,1,mala calidad,0.0
Heavy fabric,2,heavy fabric,0.0
Cute but tricky zipper,4,cute tricky zipper,0.34
"Too small, not true XXLs",1,small true xxls,0.4215
"Beautiful, light",4,beautiful light,0.5994
Buy a size larger.,5,buy size large,0.0
Super cool top,4,super cool,0.7351
"Too wide, too short",3,wide short,0.0
Quality isn’t the Best,2,quality not good,-0.3412
It’s great for material etc,4,great material etc,0.6249
Wasn’t what expected,1,not expect,0.0
I would not recommend this product.,3,recommend product,0.3612
Outstanding,5,outstanding,0.6124
Unbelievable!  I got holes in left/right pockets immediately! 😩 Now I'm Sad 😔,1,unbelievable   get hole leftright pocket immediately   m sad,-0.3182
Jackie oh my gosh this is cute!,5,jackie oh gosh cute,0.4588
They fit really well but really really long,3,fit long,0.3612
"Beautiful, but cheaply made",2,beautiful cheaply,0.5994
cheap fabric,3,cheap fabric,0.0
The photo is pink. The color I received was peach.,1,photo pink color receive peach,0.0
So unique,5,unique,0.0
Sized small,2,sized small,0.0
Is to big,2,big,0.0
this is not a blazer,2,blazer,0.0
Fits Great!,5,fit great,0.765
"Super cute, but big",4,super cute big,0.7845
Quality Fit of Product,3,quality fit product,0.3612
Runs a tiny big if in between sizes.,4,run tiny big size,0.0
Love it...,5,love,0.6369
Dress for you and your whole family,1,dress family,0.0
Love this cozy dress!,5,love cozy dress,0.6369
Extremely huge,2,extremely huge,0.3804
Clothes to thin,1,clothe thin,0.0
"100% Cotton, 0% Linen",1,100 cotton 0 linen,0.0
Not worth the effort,1,worth effort,0.2263
"Cute Dress, Better than Expected!",4,cute dress well expect,0.6249
Wanted to like this more,3,want like,0.4215
More of an a-line than straight,2,aline straight,0.2263
No Red Strikes visible,5,red strike visible,-0.128
Size ridiculously small,2,size ridiculously small,-0.34
Too flare,2,flare,0.0
Great value!!!,4,great value,0.7579
Pillsville,4,pillsville,0.0
excelente compra,4,excelente compra,0.0
"Beautiful, stylish, goes with everything",5,beautiful stylish go,0.5994
Not for my body,4,body,0.0
Not for those with hips,3,hip,0.0
Mountaire maxi dress write your review *required,5,mountaire maxi dress write review require,0.0
Weird construction,2,weird construction,-0.1779
Muy malo,1,muy malo,0.0
Best for curvy girls,2,well curvy girl,0.2732
Good Stuff !,4,good stuff,0.4404
Such a disappointment!,1,disappointment,-0.5106
Wrinkles too easily,3,wrinkles easily,0.34
"Fit great, smell awful!",1,fit great smell awful,0.5574
Not as oversized as it appears to be on the app.,3,oversized appear app,0.0
Beach cover-up,4,beach coverup,0.0
Perfect Jeans!,5,perfect jean,0.5719
Fits perfectly.  Nice winter Wright but not heavy.,5,fit perfectly   nice winter wright heavy,0.8591
Received worn & returned item,2,receive worn   return item,-0.296
If you like purple this shirt is for you,2,like purple shirt,0.3612
Great dress but colors are off,4,great dress color,0.6249
Ombre golf shirt,5,ombre golf shirt,0.0
Runs Very Small,2,run small,0.0
"Cute, versatile dress",4,cute versatile dress,0.4588
The sleeves.....,2,sleeve,0.0
Not a good quality for sure,1,good quality sure,0.6369
OK for the price but didn't last through the 6 week Fall season without holes,3,ok price not 6 week fall season hole,0.296
My grandma would like it on me.,3,grandma like,0.3612
Very comfortable v-neck tee-shirts,5,comfortable vneck teeshirt,0.5106
"Not skirted, but has nylon over shorts",4,skirt nylon short,0.0
Not a jacket.,2,jacket,0.0
The jeans have holes in the pockets,1,jean hole pocket,0.0
Oversized tshirt,2,oversized tshirt,0.0
The jeans did not look like the picture and are extremely baggy.,1,jean look like picture extremely baggy,0.3612
Not a good fit for me.,1,good fit,0.6597
Item is not as shown.,1,item show,0.0
Washed & Unknown Stain Appeared,1,wash   unknown stain appear,0.0
Love it but.....,3,love,0.6369
They don’t last.  Quality poor.,1,not   quality poor,0.3724
Need to improve your elastic waist band,2,need improve elastic waist band,0.4404
All day whenever possible,4,day possible,0.0
"Runs large, too much fabric",2,run large fabric,0.0
BE CAREFUL,3,careful,0.1531
It's a tent,1,tent,0.0
"Beautiful, but poor fit",4,beautiful poor fit,0.5106
Runs large.Neckline not dnug,3,run largeneckline dnug,0.0
I wouldn’t purchase again,2,not purchase,0.0
Great pajamas except for the buttons!,4,great pajama button,0.6249
Dont buyFrom this vendor. Had to return.,1,not buyfrom vendor return,0.0
Good quality bad sizes,1,good quality bad size,-0.1531
Quality poor for a nautica product,1,quality poor nautica product,-0.4767
"Cheap for a reason, decent but not great.",1,cheap reason decent great,0.6249
I love it so much i ordered two,5,love order,0.6369
I love this sweatshirt,5,love sweatshirt,0.6369
Oh my oh my,1,oh oh,0.0
Color not as pictured on website,2,color picture website,0.0
UBER small,1,uber small,0.0
Perfect dress for wedding!,5,perfect dress wedding,0.5719
Does not run big,3,run big,0.0
Comfortable Fit and Feel,5,comfortable fit feel,0.7003
Cool vest,4,cool vest,0.3182
Beautiful dress; so excited to wear it!!!,1,beautiful dress excited wear,0.743
Everything they talk about and money saver,5,talk money saver,0.0
XXL is actually a US size 14,3,xxl actually size 14,0.0
To big and to long,1,big long,0.0
Mixed bag,3,mixed bag,0.0
Wanted to love this...but,2,want love thisbut,0.6705
